Id,SalePrice
1461,123736.6213176683
1462,160941.42612821434
1463,188682.16705319285
1464,191317.15000080116
1465,187234.2971449311
1466,177060.54971120067
1467,180766.30994075676
1468,174237.79295815073
1469,178791.30960123223
1470,131260.7352290829
1471,202082.45551627886
1472,99095.60427667914
1473,104545.05441185072
1474,155774.79776003072
1475,124291.75221602531
1476,381459.6149572777
1477,264381.5447522492
1478,290167.47883182904
1479,257869.65249082833
1480,458598.19747824385
1481,331773.2787509245
1482,206942.07136989987
1483,185369.0320437774
1484,173184.61806989863
1485,179091.1811324294
1486,197782.47726245722
1487,328933.43532609585
1488,235331.0785764663
1489,211144.55834738474
1490,220012.2997651426
1491,191420.52381264028
1492,104474.34787983667
1493,196401.2317032672
1494,289241.1925030558
1495,296380.4078840177
1496,232510.31431097595
1497,181053.4768345722
1498,161706.45603658308
1499,159717.52049964867
1500,157102.10282516445
1501,179500.5612004475
1502,158366.2390513334
1503,292148.83150076534
1504,222791.05589961534
1505,225997.0779624256
1506,186905.60224432294
1507,255325.7600061503
1508,184793.58302867293
1509,159036.52874383854
1510,149933.63574170764
1511,143978.007917826
1512,171529.5930339356
1513,149992.3406384376
1514,171481.04503324343
1515,194182.3731486228
1516,150991.54098730852
1517,154286.0752540978
1518,135493.52604206864
1519,229062.10632642155
1520,139681.69494273874
1521,141250.57550925724
1522,163766.01302694474
1523,119203.31695855626
1524,122452.71066507124
1525,126197.25038616176
1526,122014.7413420667
1527,111458.97674120679
1528,129204.27592865498
1529,149623.2412907702
1530,163518.3715600023
1531,120553.58838428953
1532,104465.9950798862
1533,152152.412364453
1534,118173.3497112992
1535,150053.6306980495
1536,115966.74377297037
1537,86505.13985939414
1538,158056.62170191057
1539,184120.02510871756
1540,107432.0785950002
1541,138814.62379876853
1542,140577.2119769331
1543,215982.2149491402
1544,94543.81000146757
1545,110877.0215312888
1546,134726.10721640952
1547,137476.87535566406
1548,133058.5334435582
1549,113919.10021159245
1550,146992.44996099581
1551,110823.51036856728
1552,148982.70391927444
1553,146344.81735661862
1554,116524.64198580342
1555,175024.22808475827
1556,92543.99180944075
1557,109589.55134910543
1558,100409.04967289827
1559,84437.42915375406
1560,140100.26887009543
1561,148383.7558211108
1562,124019.88218816443
1563,125153.22610170208
